Ulke,Yil,Elektrik_Erisim_%,Temiz_Yakit_Erisim,Yenilenebilir_Kapasite_KisiBasi,Gelismis_Ulkeler_Finansal_Akisi,Yenilenebilir_Enerji_Orani,Fosil_Yakit_Elektrik_TWh,Nukleer_Elektrik_TWh,Yenilenebilir_Elektrik_TWh,Dusuk_Karbon_Elektrik_%,KisiBasi_Enerji_Tuketimi,Enerji_Yoğunluğu,CO2_Emisyonu_kt,Yenilenebilir_Enerji_%,Gdp_Buyume,Gdp_KisiBasi,Nufus_Yogunlugu,Yuzolcumu_Km2,Enlem,Boylam,Kalkinma_Endeksi
China,2017,100.0,73.2,436.9,372490000.0,13.13,4643.1,248.1,1667.06,29.20226,25987.611,6.51,10096009.77,12.138821,6.947200793,8816.986905,153.0,9596960.0,35.86166,104.195397,0.4460509424750482
China,2018,100.0,75.6,487.16,318260000.0,13.71,4990.28,295.0,1835.32,29.917704,27109.42,6.39,10502929.69,12.807393,6.749773832,9905.342004,153.0,9596960.0,35.86166,104.195397,0.4693138342168967
China,2019,100.0,77.6,529.28,201540000.0,14.45,5098.22,348.7,2014.57,31.672895,28277.445,6.31,10707219.73,13.51596,5.949714233,10143.83817,153.0,9596960.0,35.86166,104.195397,0.48758381859718053
China,2020,100.0,79.4,621.74,94224000.0,32.63816497829233,5184.13,366.2,2184.94,32.980618,29133.936,5.3073450588901805,159866.46268574602,14.242872,2.347513573,10434.77519,153.0,9596960.0,35.86166,104.195397,0.4362257131499568
Iceland,2000,100.0,100.0,113.13749816041205,94224000.0,60.66,0.0,0.0,7.61,100.0,118057.81,11.18,2230.0,67.80518,4.98504277,32096.37226,3.0,103000.0,64.963051,-19.020835,0.37423078510907765
Iceland,2001,100.0,100.0,113.13749816041205,94224000.0,62.12,0.0,0.0,7.96,100.0,117792.88,10.4,2160.0,69.64024,4.013497555,28897.44394,3.0,103000.0,64.963051,-19.020835,0.37271395663627005
Iceland,2002,100.0,100.0,113.13749816041205,94224000.0,61.84,0.01,0.0,8.34,99.88023,121304.664,10.65,2240.00001,69.7559,0.559519082,32409.21615,3.0,103000.0,64.963051,-19.020835,0.3749820280024669
Iceland,2003,100.0,100.0,113.13749816041205,94224000.0,61.88,0.01,0.0,8.43,99.88152,121068.53,10.43,2230.000019,69.68164,2.142688379,39476.69785,3.0,103000.0,64.963051,-19.020835,0.3794239013846821
Iceland,2004,100.0,100.0,113.13749816041205,94224000.0,61.81,0.01,0.0,8.54,99.88304,122384.42,9.57,2319.999933,68.89618,7.802399508,47334.93065,3.0,103000.0,64.963051,-19.020835,0.3842730554451728
Iceland,2005,100.0,100.0,113.13749816041205,94224000.0,62.47,0.01,0.0,8.61,99.88399,120874.47,9.16,2289.999962,68.649345,6.124438965,56794.85016,3.0,103000.0,64.963051,-19.020835,0.38837130949089366
