Ulke,Ekonomik_Gosterge_Puani,Enerji_Gosterge_Puani,Yenilenebilir_Enerji_Puani,Cevresel_Gosterge_Puani,Cografi_Demografik_Puani
Romania,0.5306364728076827,0.6983418131631887,0.5505540417801998,0.5221778079489081,0.5
Rwanda,0.42746977197890823,0.2949642081862328,0.4914772013988523,0.6594809656843306,0.5
Saint Kitts and Nevis,0.5514324376512186,0.6138257346154606,0.36602964457723086,0.5296683673469387,0.5
Saint Lucia,0.3723497225590653,0.4903329208111896,0.23352562996775522,0.4964772727272727,0.5
Saint Vincent and the Grenadines,0.4790822522142443,0.5942175466894885,0.278266014336102,0.49730897009966774,0.5
Samoa,0.5224003494655918,0.5239781388082437,0.37294548183645926,0.5912749995625001,0.5
Sao Tome and Principe,0.480282273832935,0.45651056137826096,0.38240209387578306,0.5287692431592301,0.5
Saudi Arabia,0.49355757429306574,0.6775304602547005,0.08837905236907731,0.4832163112987212,0.5
Senegal,0.44021962044812335,0.45769008831211266,0.2667686870458625,0.5692066010685675,0.5
Seychelles,0.4908555415557396,0.51368343992399,0.37822672392055656,0.5567174516952971,0.5
Sierra Leone,0.4567855489649638,0.41156294241629954,0.4596224873744282,0.6153945039766858,0.5
Singapore,0.484917610287612,0.5209315489200292,0.3367699721780604,0.5477810308454018,0.5
Slovakia,0.49485206622716493,0.49691123973629897,0.463882099209202,0.5390376273104489,0.5
Slovenia,0.57559241908378,0.48849081128871175,0.48557575757575766,0.44488857950975647,0.5
Solomon Islands,0.6717435465779178,0.45719755467189416,0.40489185334039063,0.4742809006990488,0.5
Somalia,0.3452624409677608,0.5002938722220671,0.34009863945578256,0.392164386591644,0.5
South Africa,0.534312312089476,0.6153528992079144,0.24317561791254935,0.3969126019175614,0.5
Spain,0.5449271223442439,0.4899572194532351,0.5083399209486166,0.5417413705460394,0.5
Sri Lanka,0.509515797174398,0.47995467545976533,0.4702654167813696,0.6019390895725267,0.5
Sudan,0.7151488465990008,0.5398454505498707,0.46664636659082276,0.5526805220626338,0.5
Suriname,0.5010761276112695,0.5084827716584337,0.4387649170703556,0.5713823780673171,0.5
Sweden,0.5195737930952422,0.4671818706688581,0.5131768558951965,0.5593283147390834,0.5
Switzerland,0.5540972809945565,0.4816920527592946,0.45887931034482754,0.44323897113961896,0.5
Tajikistan,0.4795697835834193,0.5025217027053175,0.528281295010026,0.7511311439904271,0.5
Thailand,0.5725299920125229,0.6623480455537065,0.3673102823062856,0.37805238806079106,0.5
Togo,0.5309184182471974,0.4137370893925353,0.5086478976968398,0.612062865600915,0.5
Tonga,0.4987636529515476,0.472355415029464,0.33377610316554773,0.5484412256429327,0.5
Trinidad and Tobago,0.5412332430455977,0.6913428477781263,0.3893137771918259,0.3682070529312743,0.5
Tunisia,0.5954949803464185,0.7459999537776703,0.3790789165783776,0.5009635256932976,0.5
Turkey,0.5752222570728736,0.7059133106167148,0.3502204770734748,0.5110236698540819,0.5
Turkmenistan,0.5321245995649968,0.5995614396353528,0.4842857142857141,0.4758301879136222,0.5
Tuvalu,0.4899482192618826,0.4768468336161805,0.2520448853801917,0.7014738805970149,0.5
Uganda,0.4073263307273285,0.4444180688479415,0.4158766437964556,0.6344879940898706,0.5
Ukraine,0.6317551110675603,0.7412432835853962,0.43314728682170545,0.48101959035666253,0.5
United Arab Emirates,0.5398910354184269,0.49571766108041004,0.11171876565056257,0.43854092034688585,0.5
United Kingdom,0.648181151514803,0.5088927119002582,0.43197541703248465,0.4191346948153828,0.5
United States,0.5571001555081322,0.47528675278549537,0.49749128919860636,0.49920294498237683,0.5
Uruguay,0.6063148707363863,0.5437077221307736,0.3634044548890769,0.5872747435092147,0.5
Uzbekistan,0.44406351195626853,0.5937625238783996,0.4696943701997737,0.5063822404209187,0.5
Vanuatu,0.5403136555945398,0.4764986453236921,0.4181848241160159,0.45295852178378515,0.5
Yemen,0.5596062510914623,0.5136981894386153,0.17547367593284313,0.5376133862839088,0.5
Zambia,0.43949147792927085,0.47400858423104814,0.4722762570964286,0.719948683383874,0.5
Zimbabwe,0.4721358632246032,0.4154272274372999,0.41248112270243437,0.5043581137420245,0.5
