Ulke,SDG_Endeks,H1_Yoksulluk,H2_Aclik,H3_Saglik,H4_Egitim,H5_Esitsizlik,H6_Su,H7_Enerji,H8_Is,H9_Altyapi,H10_Esitlik,H11_Sehir,H12_Uretim,H13_Iklim,H14_SuHayati,H15_KaraHayati,H16_Adalet,H17_Ortaklik
Germany,80.07391304347826,99.73478260869565,73.18695652173913,91.60000000000001,96.25652173913043,77.5304347826087,86.26086956521739,73.75652173913043,85.33043478260869,84.51739130434783,90.59130434782608,90.57826086956523,52.57826086956521,59.65652173913043,62.81304347826087,76.51739130434783,85.90869565217392,74.47826086956522
Greece,74.2304347826087,98.89999999999999,68.94347826086957,87.47391304347826,94.52608695652174,57.47391304347826,87.66521739130435,73.4304347826087,67.98260869565217,54.94782608695652,79.12173913043478,85.17391304347827,65.81304347826087,72.94347826086957,60.61304347826086,75.81304347826087,71.92608695652174,59.05652173913043
Hungary,77.3391304347826,98.60000000000001,70.52173913043478,79.1608695652174,94.32173913043479,61.87826086956522,86.6,72.5391304347826,79.86521739130436,54.834782608695654,94.5608695652174,86.36086956521739,75.5391304347826,79.42608695652174,0.0,83.79130434782608,68.8391304347826,51.082608695652176
Iceland,76.3913043478261,99.74782608695651,54.75652173913044,93.89999999999999,96.52173913043478,87.27391304347826,59.8,99.30434782608695,77.95217391304348,70.71304347826087,98.07826086956523,89.9304347826087,36.417391304347824,54.73913043478261,61.88695652173914,53.404347826086955,95.12173913043479,68.93478260869566
Ireland,77.6,99.70869565217392,68.37826086956522,91.14347826086957,99.08695652173913,70.35217391304347,84.06521739130434,70.78695652173913,84.73913043478261,79.78695652173913,85.79130434782608,87.40869565217392,50.45217391304348,54.869565217391305,67.18260869565218,84.18260869565218,87.81739130434782,53.44782608695652
Israel,70.98695652173913,98.0608695652174,57.96521739130435,92.79130434782608,99.45217391304348,66.51304347826087,68.25217391304348,71.38695652173914,80.98260869565217,84.91739130434782,64.22173913043478,85.41739130434782,65.02608695652174,58.14782608695653,35.80434782608695,48.48260869565217,69.65217391304348,59.75217391304348
Italy,75.62608695652175,97.72173913043478,70.35217391304347,90.93478260869566,97.94782608695652,62.16956521739131,80.23913043478261,73.6608695652174,76.34782608695652,74.65217391304348,78.69565217391305,74.9695652173913,69.1608695652174,74.98695652173913,57.79565217391304,76.79130434782608,68.20869565217392,60.77391304347826
Japan,77.33478260869565,99.5086956521739,73.7,92.2304347826087,95.08260869565218,56.76086956521739,84.5608695652174,71.17826086956521,86.78695652173913,89.69130434782609,79.4695652173913,86.49565217391304,60.334782608695654,70.26521739130435,54.63478260869565,60.643478260869564,86.66956521739131,66.68695652173913
Latvia,77.1086956521739,100.0,63.143478260869564,77.0,98.02173913043478,71.84347826086957,88.56521739130434,85.94782608695652,81.00434782608696,49.76521739130435,70.66521739130435,89.59130434782608,64.9695652173913,76.07826086956521,77.35217391304347,94.9608695652174,75.94347826086957,45.91304347826087
Lithuania,73.43478260869566,100.0,58.69565217391305,79.03478260869565,98.74782608695651,69.03478260869565,76.29565217391304,73.65652173913043,75.74782608695652,51.27391304347826,71.11304347826086,84.96521739130435,55.38260869565217,59.373913043478254,74.03478260869565,91.27391304347827,77.24347826086957,52.51739130434783
